x,y,t,type,id
331,191,1436206092939,m,761
330,192,1436206092948,m,761
329,194,1436206092960,m,761
329,196,1436206092969,m,761
329,198,1436206092979,m,761
328,201,1436206092989,m,761
328,209,1436206092999,m,761
321,211,1436206093233,m,761
317,215,1436206093242,m,761
311,216,1436206093253,m,761
300,223,1436206093263,m,761
291,228,1436206093273,m,761
280,235,1436206093294,m,761
274,240,1436206093304,m,761
272,243,1436206093314,m,761
271,243,1436206093323,m,761
269,243,1436206093334,m,761
269,243,1436206093344,m,761
268,245,1436206093354,m,761
268,245,1436206093364,m,761
268,246,1436206093375,m,761
268,247,1436206093385,m,761
267,249,1436206093395,m,761
266,252,1436206093404,m,761
266,252,1436206093415,m,761
265,255,1436206093425,m,761
265,255,1436206093435,m,761
265,256,1436206093445,m,761
265,256,1436206093456,m,761
265,257,1436206093466,m,761
265,260,1436206093476,m,761
265,260,1436206093486,m,761
266,261,1436206093496,m,761
267,261,1436206093507,m,761
268,262,1436206093516,m,761
269,262,1436206093526,m,761
271,263,1436206093537,m,761
272,263,1436206093547,m,761
275,265,1436206093558,m,761
276,265,1436206093567,m,761
278,265,1436206093577,m,761
280,265,1436206093588,m,761
281,265,1436206093597,m,761
284,264,1436206093609,m,761
288,264,1436206093618,m,761
290,264,1436206093628,m,761
293,264,1436206093638,m,761
294,264,1436206093648,m,761
298,263,1436206093659,m,761
299,263,1436206093668,m,761
302,263,1436206093678,m,761
302,263,1436206093689,m,761
305,263,1436206093699,m,761
306,263,1436206093709,m,761
309,263,1436206093719,m,761
311,262,1436206093730,m,761
312,261,1436206093740,m,761
316,260,1436206093749,m,761
318,260,1436206093759,m,761
320,259,1436206093770,m,761
322,259,1436206093780,m,761
323,259,1436206093790,m,761
326,258,1436206093800,m,761
328,258,1436206093811,m,761
330,258,1436206093820,m,761
332,258,1436206093830,m,761
332,258,1436206093841,m,761
335,258,1436206093851,m,761
336,258,1436206093862,m,761
339,258,1436206093871,m,761
340,258,1436206093881,m,761
343,258,1436206093892,m,761
345,258,1436206093901,m,761
348,258,1436206093912,m,761
351,257,1436206093922,m,761
354,257,1436206093931,m,761
357,257,1436206093942,m,761
361,257,1436206093953,m,761
364,257,1436206093963,m,761
368,257,1436206093972,m,761
372,257,1436206093982,m,761
376,256,1436206093994,m,761
381,256,1436206094003,m,761
385,256,1436206094013,m,761
391,255,1436206094024,m,761
400,255,1436206094033,m,761
407,255,1436206094044,m,761
417,255,1436206094053,m,761
426,255,1436206094064,m,761
437,256,1436206094074,m,761
446,258,1436206094084,m,761
456,260,1436206094094,m,761
466,260,1436206094105,m,761
481,263,1436206094134,m,761
487,264,1436206094135,m,761
494,267,1436206094145,m,761
497,268,1436206094157,m,761
498,268,1436206094165,m,761
501,268,1436206094175,m,761
503,270,1436206094185,m,761
508,270,1436206094196,m,761
508,272,1436206094205,m,761
510,272,1436206094216,m,761
512,272,1436206094226,m,761
513,273,1436206094236,m,761
517,275,1436206094246,m,761
521,275,1436206094256,m,761
528,271,1436206094266,m,761
537,269,1436206094490,m,761
542,268,1436206094500,m,761
547,268,1436206094509,m,761
554,265,1436206094520,m,761
561,264,1436206094530,m,761
568,263,1436206094540,m,761
574,260,1436206094550,m,761
580,260,1436206094561,m,761
587,262,1436206094571,m,761
590,262,1436206094580,m,761
